gene_name	index
TAF12	392
RAB42	393
GMEB1	394
YTHDF2	395
OPRD1	396
EPB41	397
TMEM200B	398
SRSF4	399
MECR	400
PTPRU	401
MATN1	402
LAPTM5	403
SDC3	404
PUM1	405
NKAIN1	406
SNRNP40	407
ZCCHC17	408
FABP3	409
SERINC2	410
TINAGL1	411
HCRTR1	412
PEF1	413
COL16A1	414
ADGRB2	415
SPOCD1	416
PTP4A2	417
KHDRBS1	418
TMEM39B	419
KPNA6	420
TXLNA	421
CCDC28B	422
IQCC	423
DCDC2B	424
TMEM234	425
EIF3I	426
FAM167B	427
LCK	428
HDAC1	429
MARCKSL1	430
TSSK3	431
FAM229A	432
BSDC1	433
ZBTB8B	434
ZBTB8A	435
ZBTB8OS	436
RBBP4	437
SYNC	438
KIAA1522	439
S100PBP	440
FNDC5	441
HPCA	442
TMEM54	443
RNF19B	444
AK2	445
AZIN2	446
TRIM62	447
ZNF362	448
A3GALT2	449
PHC2	450
ZSCAN20	451
CSMD2	452
HMGB4	453
C1orf94	454
SMIM12	455
GJB5	456
GJB4	457
GJB3	458
GJA4	459
DLGAP3	460
TMEM35B	461
ZMYM6	462
ZMYM1	463
SFPQ	464
ZMYM4	465
KIAA0319L	466
NCDN	467
TFAP2E	468
PSMB2	469
C1orf216	470
CLSPN	471
AGO4	472
AGO1	473
AGO3	474
TEKT2	475
COL8A2	476
TRAPPC3	477
MAP7D1	478
THRAP3	479
SH3D21	480
EVA1B	481
STK40	482
LSM10	483
OSCP1	484
MRPS15	485
CSF3R	486
GRIK3	487
ZC3H12A	488
MEAF6	489
SNIP1	490
DNALI1	491
GNL2	492
RSPO1	493
C1orf109	494
CDCA8	495
EPHA10	496
MANEAL	497
YRDC	498
C1orf122	499
MTF1	500
INPP5B	501
SF3A3	502
FHL3	503
UTP11	504
POU3F1	505
RRAGC	506
MYCBP	507
GJA9	508
RHBDL2	509
AKIRIN1	510
NDUFS5	511
MACF1	512
BMP8A	513
PABPC4	514
HEYL	515
NT5C1A	516
HPCAL4	517
PPIE	518
BMP8B	519
OXCT2	520
TRIT1	521
MYCL	522
MFSD2A	523
CAP1	524
PPT1	525
RLF	526
TMCO2	527
ZMPSTE24	528
COL9A2	529
SMAP2	530
ZFP69B	531
ZFP69	532
EXO5	533
ZNF684	534
RIMS3	535
NFYC	536
KCNQ4	537
CITED4	538
CTPS1	539
SLFNL1	540
SCMH1	541
FOXO6	542
EDN2	543
HIVEP3	544
GUCA2B	545
GUCA2A	546
FOXJ3	547
RIMKLA	548
ZMYND12	549
PPCS	550
CCDC30	551
PPIH	552
YBX1	553
CLDN19	554
P3H1	555
C1orf50	556
TMEM269	557
SVBP	558
ERMAP	559
ZNF691	560
SLC2A1	561
FAM183A	562
EBNA1BP2	563
CFAP57	564
TMEM125	565
C1orf210	566
TIE1	567
MPL	568
CDC20	569
ELOVL1	570
MED8	571
SZT2	572
HYI	573
PTPRF	574
KDM4A	575
ST3GAL3	576
ARTN	577
IPO13	578
DPH2	579
ATP6V0B	580
B4GALT2	581
CCDC24	582
SLC6A9	583
KLF17	584
KLF18	585
DMAP1	586
ERI3	587
RNF220	588
TMEM53	589
ARMH1	590
KIF2C	591
RPS8	592
BEST4	593
PLK3	594
BTBD19	595
PTCH2	596
EIF2B3	597
HECTD3	598
UROD	599
ZSWIM5	600
HPDL	601
MUTYH	602
TOE1	603
TESK2	604
CCDC163	605
MMACHC	606
PRDX1	607
AKR1A1	608
NASP	609
CCDC17	610
GPBP1L1	611
TMEM69	612
IPP	613
MAST2	614
PIK3R3	615
TSPAN1	616
P3R3URF	617
POMGNT1	618
LURAP1	619
RAD54L	620
LRRC41	621
UQCRH	622
NSUN4	623
FAAH	624
DMBX1	625
TMEM275	626
KNCN	627
MKNK1	628
MOB3C	629
ATPAF1	630
TEX38	631
EFCAB14	632
CYP4B1	633
CYP4A11	634
CYP4X1	635
CYP4Z1	636
CYP4A22	637
PDZK1IP1	638
TAL1	639
STIL	640
CMPK1	641
FOXE3	642
FOXD2	643
TRABD2B	644
SLC5A9	645
SPATA6	646
AGBL4	647
BEND5	648
ELAVL4	649
DMRTA2	650
FAF1	651
CDKN2C	652
C1orf185	653
RNF11	654
TTC39A	655
EPS15	656
OSBPL9	657
NRDC	658
RAB3B	659
TXNDC12	660
KTI12	661
BTF3L4	662
ZFYVE9	663
CC2D1B	664
ORC1	665
PRPF38A	666
TUT4	667
GPX7	668
SHISAL2A	669
COA7	670
ZYG11B	671
ZYG11A	672
ECHDC2	673
SCP2	674
PODN	675
SLC1A7	676
CPT2	677
CZIB	678
MAGOH	679
LRP8	680
DMRTB1	681
GLIS1	682
NDC1	683
YIPF1	684
DIO1	685
HSPB11	686
LRRC42	687
LDLRAD1	688
TMEM59	689
TCEANC2	690
CDCP2	691
CYB5RL	692
MRPL37	693
SSBP3	694
ACOT11	695
FAM151A	696
MROH7	697
TTC4	698
PARS2	699
TTC22	700
LEXM	701
DHCR24	702
TMEM61	703
BSND	704
PCSK9	705
USP24	706
PLPP3	707
PRKAA2	708
FYB2	709
C8A	710
C8B	711
DAB1	712
OMA1	713
TACSTD2	714
MYSM1	715
JUN	716
FGGY	717
HOOK1	718
CYP2J2	719
C1orf87	720
NFIA	721
TM2D1	722
PATJ	723
L1TD1	724
KANK4	725
USP1	726
DOCK7	727
ANGPTL3	728
ATG4C	729
FOXD3	730
ALG6	731
ITGB3BP	732
EFCAB7	733
PGM1	734
ROR1	735
UBE2U	736
CACHD1	737
RAVER2	738
JAK1	739
AK4	740
DNAJC6	741
LEPROT	742
LEPR	743
PDE4B	744
SGIP1	745
INSL5	746
MIER1	747
SLC35D1	748
C1orf141	749
IL23R	750
IL12RB2	751
SERBP1	752
GADD45A	753
GNG12	754
DIRAS3	755
WLS	756
RPE65	757
DEPDC1	758
LRRC7	759
LRRC40	760
SRSF11	761
ANKRD13C	762
CTH	763
PTGER3	764
ZRANB2	765
NEGR1	766
LRRIQ3	767
FPGT	768
TNNI3K	769
LRRC53	770
ERICH3	771
CRYZ	772
TYW3	773
LHX8	774
SLC44A5	775
ACADM	776
RABGGTB	777
MSH4	778
ASB17	779
ST6GALNAC3	780
ST6GALNAC5	781
PIGK	782
AK5	783
USP33	784
MIGA1	785
NEXN	786
FUBP1	787
DNAJB4	788
GIPC2	789
PTGFR	790
IFI44L	791
IFI44	792
ADGRL4	793
ADGRL2	794
TTLL7	795
PRKACB	796
SAMD13	797
DNASE2B	798
RPF1	799
GNG5	800
SPATA1	801
CTBS	802
SSX2IP	803
LPAR3	804
MCOLN2	805
MCOLN3	806
SYDE2	807
C1orf52	808
BCL10	809
DDAH1	810
CCN1	811
ZNHIT6	812
COL24A1	813
ODF2L	814
CLCA2	815
CLCA1	816
CLCA4	817
SH3GLB1	818
SELENOF	819
HS2ST1	820
LMO4	821
PKN2	822
GTF2B	823
KYAT3	824
RBMXL1	825
GBP3	826
GBP1	827
GBP2	828
GBP7	829
GBP4	830
GBP5	831
GBP6	832
LRRC8B	833
LRRC8C	834
LRRC8D	835
ZNF326	836
BARHL2	837
ZNF644	838
HFM1	839
CDC7	840
TGFBR3	841
BRDT	842
EPHX4	843
SETSIP	844
BTBD8	845
C1orf146	846
GLMN	847
RPAP2	848
GFI1	849
EVI5	850
RPL5	851
DIPK1A	852
MTF2	853
TMED5	854
CCDC18	855
DR1	856
FNBP1L	857
BCAR3	858
DNTTIP2	859
GCLM	860
ABCA4	861
ARHGAP29	862
ABCD3	863
F3	864
SLC44A3	865
CNN3	866
ALG14	867
TLCD4	868
RWDD3	869
PTBP2	870
DPYD	871
SNX7	872
PLPPR5	873
PLPPR4	874
PALMD	875
FRRS1	876
AGL	877
SLC35A3	878
MFSD14A	879
SASS6	880
TRMT13	881
LRRC39	882
DBT	883
RTCA	884
CDC14A	885
GPR88	886
VCAM1	887
EXTL2	888
SLC30A7	889
DPH5	890
S1PR1	891
OLFM3	892
COL11A1	893
RNPC3	894
AMY2B	895
AMY2A	896
AMY1A	897
AMY1B	898
AMY1C	899
PRMT6	900
NTNG1	901
VAV3	902
SLC25A24	903
NBPF4	904
NBPF6	905
FAM102B	906
HENMT1	907
PRPF38B	908
FNDC7	909
STXBP3	910
AKNAD1	911
GPSM2	912
CLCC1	913
WDR47	914
TAF13	915
TMEM167B	916
CELSR2	917
PSRC1	918
MYBPHL	919
SORT1	920
PSMA5	921
SYPL2	922
ATXN7L2	923
CYB561D1	924
AMIGO1	925
GPR61	926
GNAI3	927
GNAT2	928
AMPD2	929
GSTM4	930
GSTM2	931
GSTM1	932
GSTM5	933
GSTM3	934
EPS8L3	935
CSF1	936
AHCYL1	937
STRIP1	938
ALX3	939
UBL4B	940
SLC6A17	941
KCNC4	942
RBM15	943
SLC16A4	944
LAMTOR5	945
PROK1	946
KCNA10	947
KCNA2	948
KCNA3	949
CD53	950
LRIF1	951
DRAM2	952
CEPT1	953
DENND2D	954
CHI3L2	955
CHIA	956
PIFO	957
OVGP1	958
WDR77	959
ATP5PB	960
C1orf162	961
TMIGD3	962
ADORA3	963
RAP1A	964
INKA2	965
DDX20	966
KCND3	967
CTTNBP2NL	968
WNT2B	969
ST7L	970
CAPZA1	971
MOV10	972
RHOC	973
PPM1J	974
TAFA3	975
SLC16A1	976
LRIG2	977
MAGI3	978
PHTF1	979
RSBN1	980
PTPN22	981
BCL2L15	982
AP4B1	983
DCLRE1B	984
HIPK1	985
OLFML3	986
SYT6	987
TRIM33	988
BCAS2	989
DENND2C	990
AMPD1	991
NRAS	992
CSDE1	993
SIKE1	994
SYCP1	995
TSHB	996
TSPAN2	997
NGF	998
VANGL1	999
CASQ2	1000
NHLH2	1001
SLC22A15	1002
MAB21L3	1003
ATP1A1	1004
CD58	1005
IGSF3	1006
CD2	1007
PTGFRN	1008
CD101	1009
TTF2	1010
TRIM45	1011
VTCN1	1012
MAN1A2	1013
TENT5C	1014
GDAP2	1015
WDR3	1016
SPAG17	1017
TBX15	1018
WARS2	1019
HAO2	1020
HSD3B2	1021
HSD3B1	1022
ZNF697	1023
PHGDH	1024
HMGCS2	1025
REG4	1026
ADAM30	1027
NOTCH2	1028
SEC22B	1029
NBPF26	1030
PPIAL4A	1031
FAM72B	1032
SRGAP2C	1033
FAM72C	1034
PPIAL4E	1035
NBPF15	1036
PPIAL4F	1037
SRGAP2B	1038
FAM72D	1039
PPIAL4D	1040
NBPF20	1041
GPR89A	1042
PDZK1	1043
CD160	1044
RNF115	1045
POLR3C	1046
NUDT17	1047
PIAS3	1048
ANKRD35	1049
ITGA10	1050
PEX11B	1051
RBM8A	1052
LIX1L	1053
ANKRD34A	1054
POLR3GL	1055
TXNIP	1056
HJV	1057
NBPF10	1058
NOTCH2NLA	1059
PPIAL4H	1060
NBPF12	1061
PRKAB2	1062
FMO5	1063
CHD1L	1064
BCL9	1065
ACP6	1066
GJA5	1067
GJA8	1068
GPR89B	1069
NBPF11	1070
PPIAL4G	1071
NBPF14	1072
NOTCH2NLB	1073
NUDT4B	1074
PDE4DIP	1075
NBPF9	1076
NOTCH2NLC	1077
NBPF19	1078
PPIAL4C	1079
FCGR1A	1080
BOLA1	1081
SV2A	1082
SF3B4	1083
MTMR11	1084
OTUD7B	1085
VPS45	1086
PLEKHO1	1087
ANP32E	1088
CA14	1089
APH1A	1090
C1orf54	1091
CIART	1092
MRPS21	1093
PRPF3	1094
RPRD2	1095
TARS2	1096
ECM1	1097
ADAMTSL4	1098
MCL1	1099
ENSA	1100
GOLPH3L	1101
HORMAD1	1102
CTSS	1103
CTSK	1104
ARNT	1105
CTXND2	1106
SETDB1	1107
CERS2	1108
ANXA9	1109
MINDY1	1110
PRUNE1	1111
BNIPL	1112
C1orf56	1113
CDC42SE1	1114
MLLT11	1115
GABPB2	1116
SEMA6C	1117
TNFAIP8L2	1118
SCNM1	1119
LYSMD1	1120
TMOD4	1121
VPS72	1122
PIP5K1A	1123
PSMD4	1124
ZNF687	1125
PI4KB	1126
RFX5	1127
SELENBP1	1128
PSMB4	1129
POGZ	1130
CGN	1131
TUFT1	1132
SNX27	1133
CELF3	1134
RIIAD1	1135
MRPL9	1136
OAZ3	1137
TDRKH	1138
LINGO4	1139
RORC	1140
C2CD4D	1141
THEM5	1142
THEM4	1143
S100A10	1144
S100A11	1145
TCHHL1	1146
TCHH	1147
RPTN	1148
HRNR	1149
FLG	1150
FLG2	1151
CRNN	1152
LCE5A	1153
CRCT1	1154
LCE3E	1155
LCE3D	1156
LCE3C	1157
LCE3B	1158
LCE3A	1159
LCE2D	1160
LCE2C	1161
LCE2B	1162
LCE2A	1163
LCE4A	1164
C1orf68	1165
KPRP	1166
LCE1F	1167
LCE1E	1168
LCE1D	1169
LCE1C	1170
LCE1B	1171
LCE1A	1172
LCE6A	1173
SMCP	1174
IVL	1175
SPRR5	1176
SPRR4	1177
SPRR1A	1178
SPRR3	1179
SPRR1B	1180
SPRR2D	1181
SPRR2A	1182
SPRR2B	1183
SPRR2E	1184
SPRR2F	1185
SPRR2G	1186
LELP1	1187
PRR9	1188
PGLYRP3	1189
PGLYRP4	1190
S100A9	1191
S100A12	1192
S100A8	1193
S100A7A	1194
S100A7	1195
S100A6	1196
S100A5	1197
S100A4	1198
S100A3	1199
S100A2	1200
S100A16	1201
S100A14	1202
S100A13	1203
S100A1	1204
CHTOP	1205
SNAPIN	1206
ILF2	1207
NPR1	1208
INTS3	1209
SLC27A3	1210
GATAD2B	1211
DENND4B	1212
CRTC2	1213
SLC39A1	1214
CREB3L4	1215
JTB	1216
RAB13	1217
RPS27	1218
NUP210L	1219
TPM3	1220
C1orf43	1221
UBAP2L	1222
HAX1	1223
AQP10	1224
ATP8B2	1225
IL6R	1226
SHE	1227
TDRD10	1228
UBE2Q1	1229
CHRNB2	1230
ADAR	1231
KCNN3	1232
PMVK	1233
